ID,User ID,Boost ID,Status,Hash,Payment Method,Created At,Updated At,Subscription ID,Price
15813558-0f63-49dd-8cf0-1c787199b570,8bea236b-9bc9-42f9-8d29-fb55172ac1a9,01146fd4-43f3-4814-b573-963ac0864017,INACTIVE,pay_cukanzz0f21pdl6d,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
d43fa6a7-65f3-4160-86a6-daa943ac8412,8bea236b-9bc9-42f9-8d29-fb55172ac1a9,01146fd4-43f3-4814-b573-963ac0864017,INACTIVE,pay_qhdwcscv6riyp48r,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
db0b9398-9e4c-45b4-bc75-b38b22dc9826,8bea236b-9bc9-42f9-8d29-fb55172ac1a9,01146fd4-43f3-4814-b573-963ac0864017,INACTIVE,pay_pm7rspbeu3ytyupl,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
93b51b67-f23d-4f09-87a1-ec0833f31f30,8bea236b-9bc9-42f9-8d29-fb55172ac1a9,01146fd4-43f3-4814-b573-963ac0864017,ACTIVE,pay_yf4zjjgr189km2la,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
fc797d6c-24be-42cb-aa8e-bf025950ca69,52733dd7-3606-474f-8ec5-e8a4413c6aa9,01146fd4-43f3-4814-b573-963ac0864017,ACTIVE,pay_0y8iffxsaa8ol8by,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
2d48e30a-62e7-43f3-8dad-e705040be1d0,75cd5cbd-7099-496b-a9dd-a36a78f2d035,01146fd4-43f3-4814-b573-963ac0864017,ACTIVE,pay_yu4pcioubj9j1zw6,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
50181d37-ad2d-4f19-a499-5f4a08830dae,82c42ae9-a654-4adf-87d0-f6237cdbb225,01146fd4-43f3-4814-b573-963ac0864017,ACTIVE,pay_jc2l38ocpe75ags7,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
15b76887-e4ca-4f66-9681-8a943274ef38,5f1fd36c-bdac-40e6-a891-f57f399369e5,01146fd4-43f3-4814-b573-963ac0864017,ACTIVE,pay_wazp7vee64xlawkm,CREDIT_CARD,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
1c3c0fc5-8f85-4ddc-8e63-a40efa1d5e28,3c504dd1-9e59-40ea-80d3-99c01b77c6a1,01146fd4-43f3-4814-b573-963ac0864017,ACTIVE,pay_rv1mf503wtws3id7,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
4d047450-4543-4682-97a4-e67a7c8854ef,aec0b730-0063-412a-a076-84d8ac1c84bd,01146fd4-43f3-4814-b573-963ac0864017,INACTIVE,pay_tsj5h8yrg5si04cy,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
22ca3c81-2ff0-4841-a985-e904653e959a,aec0b730-0063-412a-a076-84d8ac1c84bd,01146fd4-43f3-4814-b573-963ac0864017,INACTIVE,pay_pdfhw48vyb1m28d7,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
d6e400f0-74e2-4f48-b7a6-8f315590157b,5f1fd36c-bdac-40e6-a891-f57f399369e5,2add3aba-7923-43f6-8ee2-699b4e299110,ACTIVE,pay_d6xh8w21kbtja8da,CREDIT_CARD,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
134bbbbd-a27a-42e2-88dd-0244ea817fb4,eed92c85-3e9c-4cf6-b457-6ca9d0e056ad,01146fd4-43f3-4814-b573-963ac0864017,ACTIVE,pay_nqabsj93xmy7ync0,CREDIT_CARD,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
ca89398b-3fe2-43b5-93de-36ab9c79314f,5f1fd36c-bdac-40e6-a891-f57f399369e5,2add3aba-7923-43f6-8ee2-699b4e299110,ACTIVE,pay_cjsyqj59mjiowrda,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
94bb592c-a4ab-4800-b177-cc98cf79b393,eed92c85-3e9c-4cf6-b457-6ca9d0e056ad,01146fd4-43f3-4814-b573-963ac0864017,ACTIVE,pay_iwepir30vvuh6trg,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
bb6f15cf-b412-4b5c-b3c0-d6099f15a6e2,61cea232-1100-4cf8-926f-e4a364243d4c,01146fd4-43f3-4814-b573-963ac0864017,INACTIVE,pay_mm2de9150of959fp,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
eee89377-21b3-4a88-a557-bf2ef24608fd,61cea232-1100-4cf8-926f-e4a364243d4c,01146fd4-43f3-4814-b573-963ac0864017,INACTIVE,pay_de8kz0no2cnzgzlc,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
c50be30b-1b62-4cc2-8ec1-77a2a3f78a7f,61cea232-1100-4cf8-926f-e4a364243d4c,01146fd4-43f3-4814-b573-963ac0864017,INACTIVE,pay_k4vh3crdtfs8xkfm,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
d1f7756c-364c-40fe-a654-3f34667c5b02,61cea232-1100-4cf8-926f-e4a364243d4c,01146fd4-43f3-4814-b573-963ac0864017,INACTIVE,pay_hay2k4w18fcosb9i,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
e18e5f6d-416d-46ef-9c1c-3c6c3e6610e9,61cea232-1100-4cf8-926f-e4a364243d4c,01146fd4-43f3-4814-b573-963ac0864017,INACTIVE,pay_1t70lqy2n29hvo7h,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
b748b4b1-83a7-4d36-b82b-a2433b8d18de,61cea232-1100-4cf8-926f-e4a364243d4c,01146fd4-43f3-4814-b573-963ac0864017,INACTIVE,pay_mp0qv4l19c2y7tco,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
ac1959f4-f3de-45fd-a8c9-288cc4b9b614,61cea232-1100-4cf8-926f-e4a364243d4c,01146fd4-43f3-4814-b573-963ac0864017,INACTIVE,pay_neju2rqfc2k83sq4,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
30cec8fc-43ce-42b9-9ade-9f6cd7d6efe6,61cea232-1100-4cf8-926f-e4a364243d4c,01146fd4-43f3-4814-b573-963ac0864017,INACTIVE,pay_9ovyugduzxz8eyar,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
b1069cea-24f3-4566-a201-1dd5034d44fa,61cea232-1100-4cf8-926f-e4a364243d4c,01146fd4-43f3-4814-b573-963ac0864017,INACTIVE,pay_eanzm61s0bf7sbi3,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
2fe234b8-e733-4183-89cd-ed95b66742be,61cea232-1100-4cf8-926f-e4a364243d4c,01146fd4-43f3-4814-b573-963ac0864017,INACTIVE,pay_7c9scqdpf4wpb5z1,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
81c13f92-75db-4bf0-9a0a-f7f47ed341b1,61cea232-1100-4cf8-926f-e4a364243d4c,01146fd4-43f3-4814-b573-963ac0864017,ACTIVE,pay_axut9k34hydiotod,CREDIT_CARD,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
44f8170b-1517-4e6a-942c-dadab43589eb,61cea232-1100-4cf8-926f-e4a364243d4c,01146fd4-43f3-4814-b573-963ac0864017,ACTIVE,pay_sneq33x8rx9goqbj,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
8444d26e-8632-49bc-a15b-fb3bfdf5e8f9,61cea232-1100-4cf8-926f-e4a364243d4c,01146fd4-43f3-4814-b573-963ac0864017,ACTIVE,pay_4yao769b71idsmvf,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
48d01b6b-8429-4913-9e86-230f3aaf821f,61cea232-1100-4cf8-926f-e4a364243d4c,01146fd4-43f3-4814-b573-963ac0864017,ACTIVE,pay_jpbfeeui1oqq1t7h,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
b17291b3-fd68-4ea7-93a1-455ba182b4b6,15514c51-45f2-478b-aa2d-2fc57a2b31c1,01146fd4-43f3-4814-b573-963ac0864017,ACTIVE,pay_hymghzsnqs8706vp,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
b12c076c-506d-4ae4-9fde-2a15bd113595,721362b2-ff71-4010-86b3-c4062a7ac83e,01146fd4-43f3-4814-b573-963ac0864017,ACTIVE,pay_476fvaui11ddw9ff,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
bb44f67e-f96c-4808-84a0-5312e33851bc,ccaa6c0f-c586-42be-8662-13bbff73bc67,01146fd4-43f3-4814-b573-963ac0864017,INACTIVE,pay_smrd0jxhihu46lvh,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
39f24eac-e9cc-4924-9ce1-fd3b42119d9b,ccaa6c0f-c586-42be-8662-13bbff73bc67,01146fd4-43f3-4814-b573-963ac0864017,INACTIVE,pay_6dayqlz0l9y3fjfg,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
a7b9e7f7-e5c2-418e-8739-5ed7b5f2751e,ccaa6c0f-c586-42be-8662-13bbff73bc67,01146fd4-43f3-4814-b573-963ac0864017,INACTIVE,pay_migcefuivjwbfilz,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
2416d86f-05c0-4555-990f-76449f82b967,ccaa6c0f-c586-42be-8662-13bbff73bc67,01146fd4-43f3-4814-b573-963ac0864017,INACTIVE,pay_23hor294hojcpvvp,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
90c1a9a1-8c32-4e4c-916d-df3f44fca3e2,ccaa6c0f-c586-42be-8662-13bbff73bc67,01146fd4-43f3-4814-b573-963ac0864017,INACTIVE,pay_iv5lrrj8anzkbc6t,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
